example_id                                                                  | status | run_time        |
--------------------------------------------------------------------------- | ------ | --------------- |
./spec/controllers/content_items_controller_spec.rb[1:1:1]                  | passed | 0.03091 seconds |
./spec/controllers/content_items_controller_spec.rb[1:1:2]                  | passed | 0.00745 seconds |
./spec/controllers/content_items_controller_spec.rb[1:1:3]                  | passed | 0.01154 seconds |
./spec/controllers/content_items_controller_spec.rb[1:1:4]                  | passed | 0.01701 seconds |
./spec/controllers/content_items_controller_spec.rb[1:1:5]                  | passed | 0.01177 seconds |
./spec/controllers/content_items_controller_spec.rb[1:1:6]                  | passed | 0.01319 seconds |
./spec/controllers/content_items_controller_spec.rb[1:1:7]                  | passed | 0.01161 seconds |
./spec/controllers/content_items_controller_spec.rb[1:1:8]                  | passed | 0.008 seconds   |
./spec/controllers/content_items_controller_spec.rb[1:1:9]                  | passed | 0.03197 seconds |
./spec/controllers/content_items_controller_spec.rb[1:2:1:1]                | passed | 0.01825 seconds |
./spec/controllers/content_items_controller_spec.rb[1:2:1:2]                | passed | 0.0258 seconds  |
./spec/controllers/content_items_controller_spec.rb[1:2:1:3]                | passed | 0.02713 seconds |
./spec/controllers/content_items_controller_spec.rb[1:2:1:4]                | passed | 0.02576 seconds |
./spec/controllers/groups_controller_spec.rb[1:1:1:1]                       | passed | 0.01176 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:1]                         | passed | 0.01324 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:2]                         | passed | 0.02175 seconds |
./spec/controllers/groups_controller_spec.rb[1:3:1]                         | passed | 0.04221 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:1:1]                       | passed | 0.01529 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:1:2]                       | passed | 0.0127 seconds  |
./spec/controllers/groups_controller_spec.rb[1:4:1:3]                       | passed | 0.0101 seconds  |
./spec/controllers/groups_controller_spec.rb[1:4:2:1]                       | passed | 0.02039 seconds |
./spec/controllers/groups_controller_spec.rb[1:5:1]                         | passed | 0.02061 seconds |
./spec/controllers/groups_controller_spec.rb[1:5:2]                         | passed | 0.01681 seconds |
./spec/decorators/content_item_decorator_spec.rb[1:1:1]                     | passed | 0.00348 seconds |
./spec/decorators/content_item_decorator_spec.rb[1:2:1]                     | passed | 0.00396 seconds |
./spec/decorators/content_item_decorator_spec.rb[1:3:1]                     | passed | 0.00922 seconds |
./spec/decorators/content_item_decorator_spec.rb[1:4:1]                     | passed | 0.00839 seconds |
./spec/decorators/content_items_decorator_spec.rb[1:1:1]                    | passed | 0.00409 seconds |
./spec/decorators/content_items_decorator_spec.rb[1:2:1]                    | passed | 0.00178 seconds |
./spec/decorators/content_items_decorator_spec.rb[1:3:1]                    | passed | 0.00551 seconds |
./spec/decorators/content_items_decorator_spec.rb[1:4:1]                    | passed | 0.00804 seconds |
./spec/domain/search/audit_filter_spec.rb[1:1]                              | passed | 0.00142 seconds |
./spec/domain/search/audit_filter_spec.rb[1:2:1]                            | passed | 0.01204 seconds |
./spec/domain/search/audit_filter_spec.rb[1:2:2]                            | passed | 0.0105 seconds  |
./spec/domain/search/link_filter_spec.rb[1:1]                               | passed | 0.00245 seconds |
./spec/domain/search/link_filter_spec.rb[1:2:1]                             | passed | 0.02697 seconds |
